Unnamed: 0,Ensembl Gene ID,External Gene Name,NCBI Entrez ID,Description,associated_pathways
45,ENSMUSG00000009350,Mpo,17523.0,myeloperoxidase [Source:MGI Symbol;Acc:MGI:97137],
46,ENSMUSG00000009628,Tex15,104271.0,testis expressed gene 15 [Source:MGI Symbol;Acc:MGI:1934816],
47,ENSMUSG00000010095,Slc3a2,17254.0,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]",
48,ENSMUSG00000010797,Wnt2,22413.0,"wingless-type MMTV integration site family, member 2 [Source:MGI Symbol;Acc:MGI:98954]",
49,ENSMUSG00000011008,Mcoln2,68279.0,mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529],
50,ENSMUSG00000013584,Aldh1a2,19378.0,"aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]",
51,ENSMUSG00000014030,Pax5,18507.0,paired box 5 [Source:MGI Symbol;Acc:MGI:97489],
52,ENSMUSG00000014351,Gip,14607.0,gastric inhibitory polypeptide [Source:MGI Symbol;Acc:MGI:107504],
53,ENSMUSG00000014547,Wdfy2,268752.0,WD repeat and FYVE domain containing 2 [Source:MGI Symbol;Acc:MGI:2442811],
54,ENSMUSG00000014609,Chrne,11448.0,"cholinergic receptor, nicotinic, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:87894]",
55,ENSMUSG00000015133,Lrrk1,233328.0,leucine-rich repeat kinase 1 [Source:MGI Symbol;Acc:MGI:2142227],
56,ENSMUSG00000015354,Pcolce2,76477.0,procollagen C-endopeptidase enhancer 2 [Source:MGI Symbol;Acc:MGI:1923727],
57,ENSMUSG00000015854,Cd5l,11801.0,CD5 antigen-like [Source:MGI Symbol;Acc:MGI:1334419],
58,ENSMUSG00000016239,Lonrf3,74365.0,LON peptidase N-terminal domain and ring finger 3 [Source:MGI Symbol;Acc:MGI:1921615],
59,ENSMUSG00000016344,Ppdpf,66496.0,pancreatic progenitor cell differentiation and proliferation factor [Source:MGI Symbol;Acc:MGI:1913746],
60,ENSMUSG00000016458,Wt1,22431.0,WT1 transcription factor [Source:MGI Symbol;Acc:MGI:98968],
61,ENSMUSG00000017132,Cyth1,19157.0,cytohesin 1 [Source:MGI Symbol;Acc:MGI:1334257],
62,ENSMUSG00000017400,Stac2,217154.0,SH3 and cysteine rich domain 2 [Source:MGI Symbol;Acc:MGI:2144518],
63,ENSMUSG00000017561,Crlf3,54394.0,cytokine receptor-like factor 3 [Source:MGI Symbol;Acc:MGI:1860086],
64,ENSMUSG00000017607,Tns4,217169.0,tensin 4 [Source:MGI Symbol;Acc:MGI:2144377],
65,ENSMUSG00000017677,Wsb1,78889.0,WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139],
66,ENSMUSG00000018001,Cyth3,19159.0,cytohesin 3 [Source:MGI Symbol;Acc:MGI:1335107],
67,ENSMUSG00000018168,Ikzf3,22780.0,IKAROS family zinc finger 3 [Source:MGI Symbol;Acc:MGI:1342542],
68,ENSMUSG00000018209,Stk4,58231.0,serine/threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1929004],
69,ENSMUSG00000018796,Acsl1,14081.0,acyl-CoA synthetase long-chain family member 1 [Source:MGI Symbol;Acc:MGI:102797],
70,ENSMUSG00000018821,Avpi1,69534.0,arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784],
71,ENSMUSG00000018919,Tm4sf5,75604.0,transmembrane 4 superfamily member 5 [Source:MGI Symbol;Acc:MGI:1922854],
72,ENSMUSG00000018924,Alox15,11687.0,arachidonate 15-lipoxygenase [Source:MGI Symbol;Acc:MGI:87997],
73,ENSMUSG00000019278,Dpep1,13479.0,dipeptidase 1 [Source:MGI Symbol;Acc:MGI:94917],
74,ENSMUSG00000019359,Gdpd2,71584.0,glycerophosphodiester phosphodiesterase domain containing 2 [Source:MGI Symbol;Acc:MGI:1918834],
75,ENSMUSG00000019823,Mical1,171580.0,"microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:MGI Symbol;Acc:MGI:2385847]",
76,ENSMUSG00000019843,Fyn,14360.0,Fyn proto-oncogene [Source:MGI Symbol;Acc:MGI:95602],
77,ENSMUSG00000019851,Perp,64058.0,"PERP, TP53 apoptosis effector [Source:MGI Symbol;Acc:MGI:1929938]",
78,ENSMUSG00000020009,Ifngr1,15979.0,interferon gamma receptor 1 [Source:MGI Symbol;Acc:MGI:107655],
79,ENSMUSG00000020034,Tcp11l2,216198.0,t-complex 11 (mouse) like 2 [Source:MGI Symbol;Acc:MGI:2444679],
80,ENSMUSG00000020051,Pah,18478.0,phenylalanine hydroxylase [Source:MGI Symbol;Acc:MGI:97473],
81,ENSMUSG00000020176,Grb10,14783.0,growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232],
82,ENSMUSG00000020178,Adora2a,11540.0,adenosine A2a receptor [Source:MGI Symbol;Acc:MGI:99402],
83,ENSMUSG00000020218,Wif1,24117.0,Wnt inhibitory factor 1 [Source:MGI Symbol;Acc:MGI:1344332],
84,ENSMUSG00000020264,Slc36a2,246049.0,"solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430]",
85,ENSMUSG00000020272,Stk10,20868.0,serine/threonine kinase 10 [Source:MGI Symbol;Acc:MGI:1099439],
86,ENSMUSG00000020310,Madcam1,17123.0,mucosal vascular addressin cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:103579],
87,ENSMUSG00000020374,Rasgef1c,74563.0,"RasGEF domain family, member 1C [Source:MGI Symbol;Acc:MGI:1921813]",
88,ENSMUSG00000020405,Fabp6,16204.0,fatty acid binding protein 6 [Source:MGI Symbol;Acc:MGI:96565],
89,ENSMUSG00000020419,Hormad2,75828.0,HORMA domain containing 2 [Source:MGI Symbol;Acc:MGI:1923078],
90,ENSMUSG00000020484,Xbp1,22433.0,X-box binding protein 1 [Source:MGI Symbol;Acc:MGI:98970],
91,ENSMUSG00000020547,Bzw2,66912.0,basic leucine zipper and W2 domains 2 [Source:MGI Symbol;Acc:MGI:1914162],
92,ENSMUSG00000020571,Pdia6,71853.0,protein disulfide isomerase associated 6 [Source:MGI Symbol;Acc:MGI:1919103],
93,ENSMUSG00000020592,Sdc1,20969.0,syndecan 1 [Source:MGI Symbol;Acc:MGI:1349162],
94,ENSMUSG00000020611,Gna13,14674.0,"guanine nucleotide binding protein, alpha 13 [Source:MGI Symbol;Acc:MGI:95768]",
95,ENSMUSG00000020649,Rrm2,20135.0,ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181],
96,ENSMUSG00000020743,Mif4gd,69674.0,MIF4G domain containing [Source:MGI Symbol;Acc:MGI:1916924],
97,ENSMUSG00000020744,Slc25a19,67283.0,"solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19 [Source:MGI Symbol;Acc:MGI:1914533]",
98,ENSMUSG00000020766,Galk1,14635.0,galactokinase 1 [Source:MGI Symbol;Acc:MGI:95730],
99,ENSMUSG00000020787,P2rx1,18436.0,"purinergic receptor P2X, ligand-gated ion channel, 1 [Source:MGI Symbol;Acc:MGI:1098235]",
100,ENSMUSG00000020798,Spns3,77577.0,"SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative) [Source:MGI Symbol;Acc:MGI:1924827]",
101,ENSMUSG00000020953,Coch,12810.0,cochlin [Source:MGI Symbol;Acc:MGI:1278313],
102,ENSMUSG00000021069,Pygl,110095.0,liver glycogen phosphorylase [Source:MGI Symbol;Acc:MGI:97829],
103,ENSMUSG00000021109,Hif1a,15251.0,"hypoxia inducible factor 1, alpha subunit [Source:MGI Symbol;Acc:MGI:106918]",
104,ENSMUSG00000021123,Rdh12,77974.0,retinol dehydrogenase 12 [Source:MGI Symbol;Acc:MGI:1925224],
105,ENSMUSG00000021135,Slc10a1,20493.0,"solute carrier family 10 (sodium/bile acid cotransporter family), member 1 [Source:MGI Symbol;Acc:MGI:97379]",
106,ENSMUSG00000021428,Riok1,71340.0,RIO kinase 1 [Source:MGI Symbol;Acc:MGI:1918590],
107,ENSMUSG00000021457,Syk,20963.0,spleen tyrosine kinase [Source:MGI Symbol;Acc:MGI:99515],
108,ENSMUSG00000021754,Map3k1,26401.0,mitogen-activated protein kinase kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346872],
109,ENSMUSG00000021758,Ddx4,13206.0,DEAD box helicase 4 [Source:MGI Symbol;Acc:MGI:102670],
110,ENSMUSG00000021795,Sftpd,20390.0,surfactant associated protein D [Source:MGI Symbol;Acc:MGI:109515],
111,ENSMUSG00000021830,Txndc16,70561.0,thioredoxin domain containing 16 [Source:MGI Symbol;Acc:MGI:1917811],
112,ENSMUSG00000021846,Peli2,93834.0,pellino 2 [Source:MGI Symbol;Acc:MGI:1891445],
114,ENSMUSG00000021948,Prkcd,18753.0,"protein kinase C, delta [Source:MGI Symbol;Acc:MGI:97598]",
115,ENSMUSG00000022014,Epsti1,108670.0,epithelial stromal interaction 1 (breast) [Source:MGI Symbol;Acc:MGI:1915168],
116,ENSMUSG00000022090,Pdlim2,213019.0,PDZ and LIM domain 2 [Source:MGI Symbol;Acc:MGI:2384850],
117,ENSMUSG00000022205,Sub1,20024.0,"SUB1 homolog, transcriptional regulator [Source:MGI Symbol;Acc:MGI:104811]",
118,ENSMUSG00000022225,Cma1,17228.0,"chymase 1, mast cell [Source:MGI Symbol;Acc:MGI:96941]",
119,ENSMUSG00000022263,Trio,223435.0,triple functional domain (PTPRF interacting) [Source:MGI Symbol;Acc:MGI:1927230],
120,ENSMUSG00000022322,Shcbp1,20419.0,Shc SH2-domain binding protein 1 [Source:MGI Symbol;Acc:MGI:1338802],
121,ENSMUSG00000022324,Matn2,17181.0,matrilin 2 [Source:MGI Symbol;Acc:MGI:109613],
122,ENSMUSG00000022416,Cacna1i,239556.0,"calcium channel, voltage-dependent, alpha 1I subunit [Source:MGI Symbol;Acc:MGI:2178051]",
123,ENSMUSG00000022436,Sh3bp1,20401.0,SH3-domain binding protein 1 [Source:MGI Symbol;Acc:MGI:104603],
124,ENSMUSG00000022449,Adamts20,223838.0,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20 [Source:MGI Symbol;Acc:MGI:2660628]",
125,ENSMUSG00000022496,Tnfrsf17,21935.0,"tumor necrosis factor receptor superfamily, member 17 [Source:MGI Symbol;Acc:MGI:1343050]",
126,ENSMUSG00000022686,B3gnt5,108105.0,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:MGI Symbol;Acc:MGI:2137302]",
127,ENSMUSG00000022708,Zbtb20,56490.0,zinc finger and BTB domain containing 20 [Source:MGI Symbol;Acc:MGI:1929213],
128,ENSMUSG00000022769,Sdf2l1,64136.0,stromal cell-derived factor 2-like 1 [Source:MGI Symbol;Acc:MGI:2149842],
129,ENSMUSG00000022838,Eaf2,106389.0,ELL associated factor 2 [Source:MGI Symbol;Acc:MGI:2146616],
130,ENSMUSG00000022864,D16Ertd472e,67102.0,"DNA segment, Chr 16, ERATO Doi 472, expressed [Source:MGI Symbol;Acc:MGI:1196400]",
131,ENSMUSG00000022868,Ahsg,11625.0,alpha-2-HS-glycoprotein [Source:MGI Symbol;Acc:MGI:107189],
132,ENSMUSG00000022878,Adipoq,11450.0,"adiponectin, C1Q and collagen domain containing [Source:MGI Symbol;Acc:MGI:106675]",
133,ENSMUSG00000022960,Donson,60364.0,downstream neighbor of SON [Source:MGI Symbol;Acc:MGI:1890621],
134,ENSMUSG00000022965,Ifngr2,15980.0,interferon gamma receptor 2 [Source:MGI Symbol;Acc:MGI:107654],
135,ENSMUSG00000023000,Dhh,13363.0,desert hedgehog [Source:MGI Symbol;Acc:MGI:94891],
136,ENSMUSG00000023004,Tuba1b,22143.0,"tubulin, alpha 1B [Source:MGI Symbol;Acc:MGI:107804]",
137,ENSMUSG00000023022,Lima1,65970.0,LIM domain and actin binding 1 [Source:MGI Symbol;Acc:MGI:1920992],
138,ENSMUSG00000023045,Soat2,223920.0,sterol O-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:1332226],
139,ENSMUSG00000023084,Lrrc71,74485.0,leucine rich repeat containing 71 [Source:MGI Symbol;Acc:MGI:1921735],
140,ENSMUSG00000023216,Epb42,13828.0,erythrocyte membrane protein band 4.2 [Source:MGI Symbol;Acc:MGI:95402],
141,ENSMUSG00000023249,Parp3,235587.0,"poly (ADP-ribose) polymerase family, member 3 [Source:MGI Symbol;Acc:MGI:1891258]",
142,ENSMUSG00000023272,Creld2,76737.0,cysteine-rich with EGF-like domains 2 [Source:MGI Symbol;Acc:MGI:1923987],
143,ENSMUSG00000023927,Satb1,20230.0,special AT-rich sequence binding protein 1 [Source:MGI Symbol;Acc:MGI:105084],
144,ENSMUSG00000023947,Nfkbie,18037.0,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon [Source:MGI Symbol;Acc:MGI:1194908]",
145,ENSMUSG00000024054,Smchd1,74355.0,SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605],
146,ENSMUSG00000024076,Vit,74199.0,vitrin [Source:MGI Symbol;Acc:MGI:1921449],
147,ENSMUSG00000024197,Plin3,66905.0,perilipin 3 [Source:MGI Symbol;Acc:MGI:1914155],
148,ENSMUSG00000024347,Psd2,74002.0,pleckstrin and Sec7 domain containing 2 [Source:MGI Symbol;Acc:MGI:1921252],
149,ENSMUSG00000024354,Slc23a1,20522.0,"solute carrier family 23 (nucleobase transporters), member 1 [Source:MGI Symbol;Acc:MGI:1341903]",
150,ENSMUSG00000024381,Bin1,30948.0,bridging integrator 1 [Source:MGI Symbol;Acc:MGI:108092],
151,ENSMUSG00000024589,Nedd4l,83814.0,"neural precursor cell expressed, developmentally down-regulated gene 4-like [Source:MGI Symbol;Acc:MGI:1933754]",
152,ENSMUSG00000024598,Fbn2,14119.0,fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490],
153,ENSMUSG00000024619,Cdx1,12590.0,caudal type homeobox 1 [Source:MGI Symbol;Acc:MGI:88360],
154,ENSMUSG00000024669,Cd5,12507.0,CD5 antigen [Source:MGI Symbol;Acc:MGI:88340],
155,ENSMUSG00000024670,Cd6,12511.0,CD6 antigen [Source:MGI Symbol;Acc:MGI:103566],
156,ENSMUSG00000024691,Fam111a,107373.0,"family with sequence similarity 111, member A [Source:MGI Symbol;Acc:MGI:1915508]",
157,ENSMUSG00000024696,Lpxn,107321.0,leupaxin [Source:MGI Symbol;Acc:MGI:2147677],
158,ENSMUSG00000024713,Pcsk5,18552.0,proprotein convertase subtilisin/kexin type 5 [Source:MGI Symbol;Acc:MGI:97515],
159,ENSMUSG00000024731,Ms4a10,69826.0,"membrane-spanning 4-domains, subfamily A, member 10 [Source:MGI Symbol;Acc:MGI:1917076]",
160,ENSMUSG00000024781,Lipa,16889.0,lysosomal acid lipase A [Source:MGI Symbol;Acc:MGI:96789],
161,ENSMUSG00000024793,Tnfrsf25,85030.0,"tumor necrosis factor receptor superfamily, member 25 [Source:MGI Symbol;Acc:MGI:1934667]",
162,ENSMUSG00000024798,Htr7,15566.0,5-hydroxytryptamine (serotonin) receptor 7 [Source:MGI Symbol;Acc:MGI:99841],
163,ENSMUSG00000024854,Pold4,69745.0,"polymerase (DNA-directed), delta 4 [Source:MGI Symbol;Acc:MGI:1916995]",
164,ENSMUSG00000025014,Dntt,21673.0,"deoxynucleotidyltransferase, terminal [Source:MGI Symbol;Acc:MGI:98659]",
165,ENSMUSG00000025017,Pik3ap1,83490.0,phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177],
166,ENSMUSG00000025190,Got1,14718.0,"glutamic-oxaloacetic transaminase 1, soluble [Source:MGI Symbol;Acc:MGI:95791]",
167,ENSMUSG00000025225,Nfkb2,18034.0,"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100 [Source:MGI Symbol;Acc:MGI:1099800]",
168,ENSMUSG00000025355,Mmp19,58223.0,matrix metallopeptidase 19 [Source:MGI Symbol;Acc:MGI:1927899],
169,ENSMUSG00000025357,Dgka,13139.0,"diacylglycerol kinase, alpha [Source:MGI Symbol;Acc:MGI:102952]",
170,ENSMUSG00000025362,Rps26,27370.0,ribosomal protein S26 [Source:MGI Symbol;Acc:MGI:1351628],
171,ENSMUSG00000025401,Myo1a,432516.0,myosin IA [Source:MGI Symbol;Acc:MGI:107732],
172,ENSMUSG00000025407,Gli1,14632.0,GLI-Kruppel family member GLI1 [Source:MGI Symbol;Acc:MGI:95727],
173,ENSMUSG00000025574,Tk1,21877.0,thymidine kinase 1 [Source:MGI Symbol;Acc:MGI:98763],
174,ENSMUSG00000025647,Shisa5,66940.0,shisa family member 5 [Source:MGI Symbol;Acc:MGI:1915044],
175,ENSMUSG00000025739,Gng13,64337.0,"guanine nucleotide binding protein (G protein), gamma 13 [Source:MGI Symbol;Acc:MGI:1925616]",
176,ENSMUSG00000025758,Plk4,20873.0,polo like kinase 4 [Source:MGI Symbol;Acc:MGI:101783],
177,ENSMUSG00000025809,Itgb1,16412.0,integrin beta 1 (fibronectin receptor beta) [Source:MGI Symbol;Acc:MGI:96610],
178,ENSMUSG00000025823,Pdia4,12304.0,protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864],
179,ENSMUSG00000025885,Myo5b,17919.0,myosin VB [Source:MGI Symbol;Acc:MGI:106598],
180,ENSMUSG00000025921,Rdh10,98711.0,retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238],
181,ENSMUSG00000025929,Il17a,16171.0,interleukin 17A [Source:MGI Symbol;Acc:MGI:107364],
182,ENSMUSG00000025977,Boll,75388.0,"boule homolog, RNA binding protein [Source:MGI Symbol;Acc:MGI:1922638]",
183,ENSMUSG00000025997,Ikzf2,22779.0,IKAROS family zinc finger 2 [Source:MGI Symbol;Acc:MGI:1342541],
184,ENSMUSG00000026070,Il18r1,16182.0,interleukin 18 receptor 1 [Source:MGI Symbol;Acc:MGI:105383],
185,ENSMUSG00000026074,Map4k4,26921.0,mitogen-activated protein kinase kinase kinase kinase 4 [Source:MGI Symbol;Acc:MGI:1349394],
186,ENSMUSG00000026080,Chst10,98388.0,carbohydrate sulfotransferase 10 [Source:MGI Symbol;Acc:MGI:2138283],
187,ENSMUSG00000026141,Col19a1,12823.0,"collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]",
188,ENSMUSG00000026149,Tm4sf20,66261.0,transmembrane 4 L six family member 20 [Source:MGI Symbol;Acc:MGI:1913511],
189,ENSMUSG00000026158,Ogfrl1,70155.0,opioid growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:1917405],
190,ENSMUSG00000026180,Cxcr2,12765.0,chemokine (C-X-C motif) receptor 2 [Source:MGI Symbol;Acc:MGI:105303],
191,ENSMUSG00000026247,Ecel1,13599.0,endothelin converting enzyme-like 1 [Source:MGI Symbol;Acc:MGI:1343461],
192,ENSMUSG00000026271,Gpr35,64095.0,G protein-coupled receptor 35 [Source:MGI Symbol;Acc:MGI:1929509],
193,ENSMUSG00000026278,Bok,51800.0,BCL2-related ovarian killer [Source:MGI Symbol;Acc:MGI:1858494],
194,ENSMUSG00000026295,Spp2,75396.0,secreted phosphoprotein 2 [Source:MGI Symbol;Acc:MGI:1922646],
195,ENSMUSG00000026335,Pam,18484.0,peptidylglycine alpha-amidating monooxygenase [Source:MGI Symbol;Acc:MGI:97475],
196,ENSMUSG00000026398,Nr5a2,26424.0,"nuclear receptor subfamily 5, group A, member 2 [Source:MGI Symbol;Acc:MGI:1346834]",
197,ENSMUSG00000026407,Cacna1s,12292.0,"calcium channel, voltage-dependent, L type, alpha 1S subunit [Source:MGI Symbol;Acc:MGI:88294]",
198,ENSMUSG00000026414,Tnnt2,21956.0,"troponin T2, cardiac [Source:MGI Symbol;Acc:MGI:104597]",
199,ENSMUSG00000026594,Ralgps2,78255.0,Ral GEF with PH domain and SH3 binding motif 2 [Source:MGI Symbol;Acc:MGI:1925505],
200,ENSMUSG00000026670,Uap1,107652.0,UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:MGI Symbol;Acc:MGI:1334459],
201,ENSMUSG00000026700,Tnfsf4,22164.0,"tumor necrosis factor (ligand) superfamily, member 4 [Source:MGI Symbol;Acc:MGI:104511]",
202,ENSMUSG00000026735,Ptf1a,19213.0,"pancreas specific transcription factor, 1a [Source:MGI Symbol;Acc:MGI:1328312]",
203,ENSMUSG00000026778,Prkcq,18761.0,"protein kinase C, theta [Source:MGI Symbol;Acc:MGI:97601]",
204,ENSMUSG00000026835,Fcnb,14134.0,ficolin B [Source:MGI Symbol;Acc:MGI:1341158],
205,ENSMUSG00000026841,Fibcd1,98970.0,fibrinogen C domain containing 1 [Source:MGI Symbol;Acc:MGI:2138953],
206,ENSMUSG00000026946,Nmi,64685.0,N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368],
207,ENSMUSG00000026950,Neb,17996.0,nebulin [Source:MGI Symbol;Acc:MGI:97292],
208,ENSMUSG00000027072,Prg3,53856.0,proteoglycan 3 [Source:MGI Symbol;Acc:MGI:1858200],
209,ENSMUSG00000027115,Kif18a,228421.0,kinesin family member 18A [Source:MGI Symbol;Acc:MGI:2446977],
210,ENSMUSG00000027215,Cd82,12521.0,CD82 antigen [Source:MGI Symbol;Acc:MGI:104651],
211,ENSMUSG00000027318,Adam33,110751.0,a disintegrin and metallopeptidase domain 33 [Source:MGI Symbol;Acc:MGI:1341813],
212,ENSMUSG00000027361,Gabpb1,14391.0,"GA repeat binding protein, beta 1 [Source:MGI Symbol;Acc:MGI:95611]",
