Gene stable ID	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID
ENSMUSG00000001173	Ocrl	OCRL, inositol polyphosphate-5-phosphatase [Source:MGI Symbol;Acc:MGI:109589]	320634
ENSMUSG00000001227	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]	20359
ENSMUSG00000001240	Ramp2	receptor (calcitonin) activity modifying protein 2 [Source:MGI Symbol;Acc:MGI:1859650]	54409
ENSMUSG00000001270	Ckb	creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]	12709
ENSMUSG00000001281	Itgb7	integrin beta 7 [Source:MGI Symbol;Acc:MGI:96616]	16421
ENSMUSG00000001300	Efnb2	ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]	13642
ENSMUSG00000001348	Acp5	acid phosphatase 5, tartrate resistant [Source:MGI Symbol;Acc:MGI:87883]	11433
ENSMUSG00000001349	Cnn1	calponin 1 [Source:MGI Symbol;Acc:MGI:104979]	12797
ENSMUSG00000001403	Ube2c	ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]	68612
ENSMUSG00000001444	Tbx21	T-box 21 [Source:MGI Symbol;Acc:MGI:1888984]	57765
ENSMUSG00000001473	Tubb6	tubulin, beta 6 class V [Source:MGI Symbol;Acc:MGI:1915201]	67951
ENSMUSG00000001493	Meox1	mesenchyme homeobox 1 [Source:MGI Symbol;Acc:MGI:103220]	17285
ENSMUSG00000001504	Irx2	Iroquois homeobox 2 [Source:MGI Symbol;Acc:MGI:1197526]	16372
ENSMUSG00000001506	Col1a1	collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]	12842
ENSMUSG00000001520	Nrip2	nuclear receptor interacting protein 2 [Source:MGI Symbol;Acc:MGI:1891884]	60345
ENSMUSG00000001542	Ell2	elongation factor for RNA polymerase II 2 [Source:MGI Symbol;Acc:MGI:2183438]	192657
ENSMUSG00000001622	Csn3	casein kappa [Source:MGI Symbol;Acc:MGI:107461]	12994
ENSMUSG00000001627	Ifrd1	interferon-related developmental regulator 1 [Source:MGI Symbol;Acc:MGI:1316717]	15982
ENSMUSG00000001741	Il16	interleukin 16 [Source:MGI Symbol;Acc:MGI:1270855]	16170
ENSMUSG00000001773	Folh1	folate hydrolase 1 [Source:MGI Symbol;Acc:MGI:1858193]	53320
ENSMUSG00000001827	Folr1	folate receptor 1 (adult) [Source:MGI Symbol;Acc:MGI:95568]	14275
ENSMUSG00000001865	Cpa3	carboxypeptidase A3, mast cell [Source:MGI Symbol;Acc:MGI:88479]	12873
ENSMUSG00000001870	Ltbp1	latent transforming growth factor beta binding protein 1 [Source:MGI Symbol;Acc:MGI:109151]	268977
ENSMUSG00000001911	Nfix	nuclear factor I/X [Source:MGI Symbol;Acc:MGI:97311]	18032
ENSMUSG00000001918	Slc1a5	solute carrier family 1 (neutral amino acid transporter), member 5 [Source:MGI Symbol;Acc:MGI:105305]	20514
ENSMUSG00000001930	Vwf	Von Willebrand factor [Source:MGI Symbol;Acc:MGI:98941]	22371
ENSMUSG00000001943	Vsig2	V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009]	57276
ENSMUSG00000001946	Esam	endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]	69524
ENSMUSG00000001964	Emd	emerin [Source:MGI Symbol;Acc:MGI:108117]	13726
ENSMUSG00000001985	Grik3	glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]	14807
ENSMUSG00000001986	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]	53623
ENSMUSG00000001995	Sipa1l2	signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970]	244668
ENSMUSG00000002007	Srpk3	serine/arginine-rich protein specific kinase 3 [Source:MGI Symbol;Acc:MGI:1891338]	56504
ENSMUSG00000002020	Ltbp2	latent transforming growth factor beta binding protein 2 [Source:MGI Symbol;Acc:MGI:99502]	16997
ENSMUSG00000002033	Cd3g	CD3 antigen, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88333]	12502
ENSMUSG00000002100	Mybpc3	myosin binding protein C, cardiac [Source:MGI Symbol;Acc:MGI:102844]	17868
ENSMUSG00000002104	Rapsn	receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]	19400
ENSMUSG00000002107	Celf2	CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]	14007
ENSMUSG00000002111	Spi1	spleen focus forming virus (SFFV) proviral integration oncogene [Source:MGI Symbol;Acc:MGI:98282]	20375
ENSMUSG00000002204	Napsa	napsin A aspartic peptidase [Source:MGI Symbol;Acc:MGI:109365]	16541
ENSMUSG00000002233	Rhoc	ras homolog family member C [Source:MGI Symbol;Acc:MGI:106028]	11853
ENSMUSG00000002257	Def6	differentially expressed in FDCP 6 [Source:MGI Symbol;Acc:MGI:1346328]	23853
ENSMUSG00000002289	Angptl4	angiopoietin-like 4 [Source:MGI Symbol;Acc:MGI:1888999]	57875
ENSMUSG00000002458	Rgs19	regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153]	56470
ENSMUSG00000002475	Abhd3	abhydrolase domain containing 3 [Source:MGI Symbol;Acc:MGI:2147183]	106861
ENSMUSG00000002489	Tiam1	T cell lymphoma invasion and metastasis 1 [Source:MGI Symbol;Acc:MGI:103306]	21844
ENSMUSG00000002602	Axl	AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]	26362
ENSMUSG00000002603	Tgfb1	transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]	21803
ENSMUSG00000002668	Dennd1c	DENN domain containing 1C [Source:MGI Symbol;Acc:MGI:1918035]	70785
ENSMUSG00000002688	Prkd1	protein kinase D1 [Source:MGI Symbol;Acc:MGI:99879]	18760
ENSMUSG00000002699	Lcp2	lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]	16822
ENSMUSG00000002732	Fkbp7	FK506 binding protein 7 [Source:MGI Symbol;Acc:MGI:1336879]	14231
ENSMUSG00000002769	Gnmt	glycine N-methyltransferase [Source:MGI Symbol;Acc:MGI:1202304]	14711
ENSMUSG00000002831	Plin4	perilipin 4 [Source:MGI Symbol;Acc:MGI:1929709]	57435
ENSMUSG00000002847	Pla1a	phospholipase A1 member A [Source:MGI Symbol;Acc:MGI:1934677]	85031
ENSMUSG00000002881	Nab1	Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564]	17936
ENSMUSG00000002900	Lamb1	laminin B1 [Source:MGI Symbol;Acc:MGI:96743]	16777
ENSMUSG00000002930	Ppp1r17	protein phosphatase 1, regulatory subunit 17 [Source:MGI Symbol;Acc:MGI:1333876]	19051
ENSMUSG00000002944	Cd36	CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]	12491
ENSMUSG00000002980	Bcam	basal cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1929940]	57278
ENSMUSG00000002983	Relb	avian reticuloendotheliosis viral (v-rel) oncogene related B [Source:MGI Symbol;Acc:MGI:103289]	19698
ENSMUSG00000002985	Apoe	apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]	11816
ENSMUSG00000003032	Klf4	Kruppel-like factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287]	16600
ENSMUSG00000003051	Elf3	E74-like factor 3 [Source:MGI Symbol;Acc:MGI:1101781]	13710
ENSMUSG00000003228	Grk5	G protein-coupled receptor kinase 5 [Source:MGI Symbol;Acc:MGI:109161]	14773
ENSMUSG00000003283	Hck	hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]	15162
ENSMUSG00000003379	Cd79a	CD79A antigen (immunoglobulin-associated alpha) [Source:MGI Symbol;Acc:MGI:101774]	12518
ENSMUSG00000003382	Etv3	ets variant 3 [Source:MGI Symbol;Acc:MGI:1350926]	27049
ENSMUSG00000003418	St8sia6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:2386797]	241230
ENSMUSG00000003420	Fcgrt	Fc fragment of IgG receptor and transporter [Source:MGI Symbol;Acc:MGI:103017]	14132
ENSMUSG00000003477	Inmt	indolethylamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:102963]	21743
ENSMUSG00000003484	Cyp4f18	cytochrome P450, family 4, subfamily f, polypeptide 18 [Source:MGI Symbol;Acc:MGI:1919304]	72054
ENSMUSG00000003545	Fosb	FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575]	14282
ENSMUSG00000003573	Homer3	homer scaffolding protein 3 [Source:MGI Symbol;Acc:MGI:1347359]	26558
ENSMUSG00000003617	Cp	ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]	12870
ENSMUSG00000003665	Has1	hyaluronan synthase 1 [Source:MGI Symbol;Acc:MGI:106590]	15116
ENSMUSG00000003746	Man1a	mannosidase 1, alpha [Source:MGI Symbol;Acc:MGI:104677]	17155
ENSMUSG00000003849	Nqo1	NAD(P)H dehydrogenase, quinone 1 [Source:MGI Symbol;Acc:MGI:103187]	18104
ENSMUSG00000003882	Il7r	interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562]	16197
ENSMUSG00000003955	Fam162a	family with sequence similarity 162, member A [Source:MGI Symbol;Acc:MGI:1917436]	70186
ENSMUSG00000003992	Ssbp2	single-stranded DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1914220]	66970
ENSMUSG00000004043	Stat5a	signal transducer and activator of transcription 5A [Source:MGI Symbol;Acc:MGI:103036]	20850
ENSMUSG00000004098	Col5a3	collagen, type V, alpha 3 [Source:MGI Symbol;Acc:MGI:1858212]	53867
ENSMUSG00000004105	Angptl2	angiopoietin-like 2 [Source:MGI Symbol;Acc:MGI:1347002]	26360
ENSMUSG00000004110	Cacna1e	calcium channel, voltage-dependent, R type, alpha 1E subunit [Source:MGI Symbol;Acc:MGI:106217]	12290
ENSMUSG00000004151	Etv1	ets variant 1 [Source:MGI Symbol;Acc:MGI:99254]	14009
ENSMUSG00000004207	Psap	prosaposin [Source:MGI Symbol;Acc:MGI:97783]	19156
ENSMUSG00000004266	Ptpn6	protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]	15170
ENSMUSG00000004359	Spic	Spi-C transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol;Acc:MGI:1341168]	20728
ENSMUSG00000004366	Sst	somatostatin [Source:MGI Symbol;Acc:MGI:98326]	20604
ENSMUSG00000004371	Il11	interleukin 11 [Source:MGI Symbol;Acc:MGI:107613]	16156
ENSMUSG00000004451	Ralb	v-ral simian leukemia viral oncogene B [Source:MGI Symbol;Acc:MGI:1927244]	64143
ENSMUSG00000004552	Ctse	cathepsin E [Source:MGI Symbol;Acc:MGI:107361]	13034
ENSMUSG00000004558	Ndrg2	N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]	29811
ENSMUSG00000004612	Nkg7	natural killer cell group 7 sequence [Source:MGI Symbol;Acc:MGI:1931250]	72310
ENSMUSG00000004633	Chn2	chimerin 2 [Source:MGI Symbol;Acc:MGI:1917243]	69993
ENSMUSG00000004637	Wwox	WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237]	80707
ENSMUSG00000004651	Tyr	tyrosinase [Source:MGI Symbol;Acc:MGI:98880]	22173
ENSMUSG00000004655	Aqp1	aquaporin 1 [Source:MGI Symbol;Acc:MGI:103201]	11826
ENSMUSG00000004665	Cnn2	calponin 2 [Source:MGI Symbol;Acc:MGI:105093]	12798
ENSMUSG00000004698	Hdac9	histone deacetylase 9 [Source:MGI Symbol;Acc:MGI:1931221]	79221
ENSMUSG00000004707	Ly9	lymphocyte antigen 9 [Source:MGI Symbol;Acc:MGI:96885]	17085
ENSMUSG00000004709	Cd244a	CD244 molecule A [Source:MGI Symbol;Acc:MGI:109294]	18106
ENSMUSG00000004791	Pgf	placental growth factor [Source:MGI Symbol;Acc:MGI:105095]	18654
ENSMUSG00000004814	Ccl24	chemokine (C-C motif) ligand 24 [Source:MGI Symbol;Acc:MGI:1928953]	56221
ENSMUSG00000004891	Nes	nestin [Source:MGI Symbol;Acc:MGI:101784]	18008
ENSMUSG00000004933	Matk	megakaryocyte-associated tyrosine kinase [Source:MGI Symbol;Acc:MGI:99259]	17179
ENSMUSG00000004939	Nmrk2	nicotinamide riboside kinase 2 [Source:MGI Symbol;Acc:MGI:1916814]	69564
ENSMUSG00000004951	Hspb1	heat shock protein 1 [Source:MGI Symbol;Acc:MGI:96240]	15507
ENSMUSG00000005054	Cstb	cystatin B [Source:MGI Symbol;Acc:MGI:109514]	13014
ENSMUSG00000005057	Sh2b2	SH2B adaptor protein 2 [Source:MGI Symbol;Acc:MGI:1345171]	23921
ENSMUSG00000005087	Cd44	CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]	12505
ENSMUSG00000005089	Slc1a2	solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:MGI Symbol;Acc:MGI:101931]	20511
ENSMUSG00000005125	Ndrg1	N-myc downstream regulated gene 1 [Source:MGI Symbol;Acc:MGI:1341799]	17988
ENSMUSG00000005142	Man2b1	mannosidase 2, alpha B1 [Source:MGI Symbol;Acc:MGI:107286]	17159
ENSMUSG00000005220	Corin	corin, serine peptidase [Source:MGI Symbol;Acc:MGI:1349451]	53419
ENSMUSG00000005268	Prlr	prolactin receptor [Source:MGI Symbol;Acc:MGI:97763]	19116
ENSMUSG00000005338	Cadm3	cell adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:2137858]	94332
ENSMUSG00000005360	Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3 [Source:MGI Symbol;Acc:MGI:99917]	20512
ENSMUSG00000005397	Nid1	nidogen 1 [Source:MGI Symbol;Acc:MGI:97342]	18073
ENSMUSG00000005413	Hmox1	heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]	15368
ENSMUSG00000005474	Myl10	myosin, light chain 10, regulatory [Source:MGI Symbol;Acc:MGI:1891705]	59310
ENSMUSG00000005483	Dnajb1	DnaJ heat shock protein family (Hsp40) member B1 [Source:MGI Symbol;Acc:MGI:1931874]	81489
ENSMUSG00000005533	Igf1r	insulin-like growth factor I receptor [Source:MGI Symbol;Acc:MGI:96433]	16001
ENSMUSG00000005534	Insr	insulin receptor [Source:MGI Symbol;Acc:MGI:96575]	16337
ENSMUSG00000005540	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide [Source:MGI Symbol;Acc:MGI:95497]	14128
ENSMUSG00000005583	Mef2c	myocyte enhancer factor 2C [Source:MGI Symbol;Acc:MGI:99458]	17260
ENSMUSG00000005672	Kit	KIT proto-oncogene receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:96677]	16590
ENSMUSG00000005716	Pvalb	parvalbumin [Source:MGI Symbol;Acc:MGI:97821]	19293
ENSMUSG00000005763	Cd247	CD247 antigen [Source:MGI Symbol;Acc:MGI:88334]	12503
ENSMUSG00000005800	Mmp8	matrix metallopeptidase 8 [Source:MGI Symbol;Acc:MGI:1202395]	17394
ENSMUSG00000005824	Tnfsf14	tumor necrosis factor (ligand) superfamily, member 14 [Source:MGI Symbol;Acc:MGI:1355317]	50930
ENSMUSG00000005892	Trh	thyrotropin releasing hormone [Source:MGI Symbol;Acc:MGI:98823]	22044
ENSMUSG00000006014	Prg4	proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein) [Source:MGI Symbol;Acc:MGI:1891344]	96875
ENSMUSG00000006191	Cdkal1	CDK5 regulatory subunit associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:1921765]	68916
ENSMUSG00000006205	Htra1	HtrA serine peptidase 1 [Source:MGI Symbol;Acc:MGI:1929076]	56213
ENSMUSG00000006221	Hspb7	heat shock protein family, member 7 (cardiovascular) [Source:MGI Symbol;Acc:MGI:1352494]	29818
ENSMUSG00000006310	Zbtb32	zinc finger and BTB domain containing 32 [Source:MGI Symbol;Acc:MGI:1891838]	58206
ENSMUSG00000006344	Ggt5	gamma-glutamyltransferase 5 [Source:MGI Symbol;Acc:MGI:1346063]	23887
ENSMUSG00000006356	Crip2	cysteine rich protein 2 [Source:MGI Symbol;Acc:MGI:1915587]	68337
ENSMUSG00000006360	Crip1	cysteine-rich protein 1 (intestinal) [Source:MGI Symbol;Acc:MGI:88501]	12925
ENSMUSG00000006362	Cbfa2t3	CBFA2/RUNX1 translocation partner 3 [Source:MGI Symbol;Acc:MGI:1338013]	12398
ENSMUSG00000006369	Fbln1	fibulin 1 [Source:MGI Symbol;Acc:MGI:95487]	14114
ENSMUSG00000006386	Tek	TEK receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:98664]	21687
ENSMUSG00000006398	Cdc20	cell division cycle 20 [Source:MGI Symbol;Acc:MGI:1859866]	107995
ENSMUSG00000006403	Adamts4	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4 [Source:MGI Symbol;Acc:MGI:1339949]	240913
ENSMUSG00000006445	Epha2	Eph receptor A2 [Source:MGI Symbol;Acc:MGI:95278]	13836
ENSMUSG00000006519	Cyba	cytochrome b-245, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1316658]	13057
ENSMUSG00000006522	Itih3	inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]	16426
ENSMUSG00000006529	Itih1	inter-alpha trypsin inhibitor, heavy chain 1 [Source:MGI Symbol;Acc:MGI:96618]	16424
ENSMUSG00000006546	Cryba2	crystallin, beta A2 [Source:MGI Symbol;Acc:MGI:104336]	12958
ENSMUSG00000006574	Slc4a1	solute carrier family 4 (anion exchanger), member 1 [Source:MGI Symbol;Acc:MGI:109393]	20533
ENSMUSG00000006585	Cdt1	chromatin licensing and DNA replication factor 1 [Source:MGI Symbol;Acc:MGI:1914427]	67177
ENSMUSG00000006611	Hfe	homeostatic iron regulator [Source:MGI Symbol;Acc:MGI:109191]	15216
ENSMUSG00000006651	Aplp1	amyloid beta (A4) precursor-like protein 1 [Source:MGI Symbol;Acc:MGI:88046]	11803
ENSMUSG00000006731	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1 [Source:MGI Symbol;Acc:MGI:1342057]	14421
ENSMUSG00000006782	Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]	12799
ENSMUSG00000006800	Sulf2	sulfatase 2 [Source:MGI Symbol;Acc:MGI:1919293]	72043
ENSMUSG00000007097	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:MGI Symbol;Acc:MGI:88106]	98660
ENSMUSG00000007379	Dennd2c	DENN domain containing 2C [Source:MGI Symbol;Acc:MGI:3036254]	329727
ENSMUSG00000007476	Lrrc8a	leucine rich repeat containing 8A VRAC subunit A [Source:MGI Symbol;Acc:MGI:2652847]	241296
ENSMUSG00000007617	Homer1	homer scaffolding protein 1 [Source:MGI Symbol;Acc:MGI:1347345]	26556
ENSMUSG00000007655	Cav1	caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]	12389
ENSMUSG00000007682	Dio2	deiodinase, iodothyronine, type II [Source:MGI Symbol;Acc:MGI:1338833]	13371
ENSMUSG00000007888	Crlf1	cytokine receptor-like factor 1 [Source:MGI Symbol;Acc:MGI:1340030]	12931
ENSMUSG00000007891	Ctsd	cathepsin D [Source:MGI Symbol;Acc:MGI:88562]	13033
ENSMUSG00000007908	Hmgcll1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1 [Source:MGI Symbol;Acc:MGI:2446108]	208982
ENSMUSG00000007946	Phox2a	paired-like homeobox 2a [Source:MGI Symbol;Acc:MGI:106633]	11859
ENSMUSG00000008136	Fhl2	four and a half LIM domains 2 [Source:MGI Symbol;Acc:MGI:1338762]	14200
ENSMUSG00000008193	Spib	Spi-B transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol;Acc:MGI:892986]	272382
ENSMUSG00000008384	Sertad1	SERTA domain containing 1 [Source:MGI Symbol;Acc:MGI:1913438]	55942
ENSMUSG00000008398	Elk3	ELK3, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101762]	13713
ENSMUSG00000008496	Pou2f2	POU domain, class 2, transcription factor 2 [Source:MGI Symbol;Acc:MGI:101897]	18987
ENSMUSG00000008540	Mgst1	microsomal glutathione S-transferase 1 [Source:MGI Symbol;Acc:MGI:1913850]	56615
ENSMUSG00000008575	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	18028
ENSMUSG00000008734	Gprc5b	G protein-coupled receptor, family C, group 5, member B [Source:MGI Symbol;Acc:MGI:1927596]	64297
ENSMUSG00000008843	Cldn13	claudin 13 [Source:MGI Symbol;Acc:MGI:1913102]	57255
ENSMUSG00000008845	Cd163	CD163 antigen [Source:MGI Symbol;Acc:MGI:2135946]	93671
ENSMUSG00000008999	Bmp7	bone morphogenetic protein 7 [Source:MGI Symbol;Acc:MGI:103302]	12162
ENSMUSG00000009145	Dqx1	DEAQ RNA-dependent ATPase [Source:MGI Symbol;Acc:MGI:2136388]	93838
ENSMUSG00000009246	Trpm5	transient receptor potential cation channel, subfamily M, member 5 [Source:MGI Symbol;Acc:MGI:1861718]	56843
ENSMUSG00000009281	Rarres2	retinoic acid receptor responder (tazarotene induced) 2 [Source:MGI Symbol;Acc:MGI:1918910]	71660
ENSMUSG00000009350	Mpo	myeloperoxidase [Source:MGI Symbol;Acc:MGI:97137]	17523
